pathway	bin	blen	qin	qlen	qexp	fc	p.fisher	p.binom	p.fisher.fdr	p.binom.fdr	description	qin.list
path:tgu04120	 76	17488	 24	2446	10.63	2.26	0.00108	0.000302	0.106	0.0485	Ubiquitin mediated proteolysis - Taeniopygia guttata (zebra finch)	ENSTGUG00000002027,ENSTGUG00000003344,ENSTGUG00000001787,ENSTGUG00000002262,ENSTGUG00000009367,ENSTGUG00000005149,ENSTGUG00000000037,ENSTGUG00000003508,ENSTGUG00000006360,ENSTGUG00000001915,ENSTGUG00000001790,ENSTGUG00000008833,ENSTGUG00000009380,ENSTGUG00000009155,ENSTGUG00000005309,ENSTGUG00000009440,ENSTGUG00000008567,ENSTGUG00000003345,ENSTGUG00000005017,ENSTGUG00000003125,ENSTGUG00000003533,ENSTGUG00000010445,ENSTGUG00000009328,ENSTGUG00000003528
path:tgu04010	132	17488	 35	2446	18.46	1.90	0.00128	0.000588	0.106	0.0485	MAPK signaling pathway - Taeniopygia guttata (zebra finch)	ENSTGUG00000003482,ENSTGUG00000002094,ENSTGUG00000003240,ENSTGUG00000011002,ENSTGUG00000004206,ENSTGUG00000005374,ENSTGUG00000011011,ENSTGUG00000004257,ENSTGUG00000011632,ENSTGUG00000009531,ENSTGUG00000003640,ENSTGUG00000008602,ENSTGUG00000001806,ENSTGUG00000004649,ENSTGUG00000000158,ENSTGUG00000010198,ENSTGUG00000003595,ENSTGUG00000010239,ENSTGUG00000010712,ENSTGUG00000004375,ENSTGUG00000002333,ENSTGUG00000006958,ENSTGUG00000001908,ENSTGUG00000005379,ENSTGUG00000009363,ENSTGUG00000008880,ENSTGUG00000018231,ENSTGUG00000009015,ENSTGUG00000009273,ENSTGUG00000009488,ENSTGUG00000004738,ENSTGUG00000008983,ENSTGUG00000011023,ENSTGUG00000003527,ENSTGUG00000004743
path:tgu00970	 29	17488	 12	2446	 4.06	2.96	0.00292	0.001017	0.161	0.0559	Aminoacyl-tRNA biosynthesis - Taeniopygia guttata (zebra finch)	ENSTGUG00000008828,ENSTGUG00000005726,ENSTGUG00000009090,ENSTGUG00000008400,ENSTGUG00000009099,ENSTGUG00000009417,ENSTGUG00000012180,ENSTGUG00000001925,ENSTGUG00000005000,ENSTGUG00000007880,ENSTGUG00000000092,ENSTGUG00000001499
path:tgu04150	 37	17488	 13	2446	 5.18	2.51	0.00754	0.002667	0.236	0.1100	mTOR signaling pathway - Taeniopygia guttata (zebra finch)	ENSTGUG00000003296,ENSTGUG00000002173,ENSTGUG00000004257,ENSTGUG00000011632,ENSTGUG00000008602,ENSTGUG00000004471,ENSTGUG00000004977,ENSTGUG00000001449,ENSTGUG00000011279,ENSTGUG00000012160,ENSTGUG00000009488,ENSTGUG00000001939,ENSTGUG00000002126
path:tgu04114	 66	17488	 19	2446	 9.23	2.06	0.00766	0.004106	0.236	0.1129	Oocyte meiosis - Taeniopygia guttata (zebra finch)	ENSTGUG00000001762,ENSTGUG00000005332,ENSTGUG00000008602,ENSTGUG00000000037,ENSTGUG00000005486,ENSTGUG00000001915,ENSTGUG00000004938,ENSTGUG00000001790,ENSTGUG00000005982,ENSTGUG00000008504,ENSTGUG00000011279,ENSTGUG00000009363,ENSTGUG00000008636,ENSTGUG00000009440,ENSTGUG00000018231,ENSTGUG00000009488,ENSTGUG00000009328,ENSTGUG00000003528,ENSTGUG00000003527
path:tgu04914	 52	17488	 16	2446	 7.27	2.20	0.00857	0.004099	0.236	0.1129	Progesterone-mediated oocyte maturation - Taeniopygia guttata (zebra finch)	ENSTGUG00000005332,ENSTGUG00000011632,ENSTGUG00000008602,ENSTGUG00000000037,ENSTGUG00000005486,ENSTGUG00000001915,ENSTGUG00000011881,ENSTGUG00000005982,ENSTGUG00000008504,ENSTGUG00000011279,ENSTGUG00000009363,ENSTGUG00000008636,ENSTGUG00000009440,ENSTGUG00000009488,ENSTGUG00000009328,ENSTGUG00000003528
path:tgu01100	666	17488	119	2446	93.15	1.28	0.01447	0.008167	0.264	0.1420	Metabolic pathways - Taeniopygia guttata (zebra finch)	ENSTGUG00000006771,ENSTGUG00000003568,ENSTGUG00000009858,ENSTGUG00000002244,ENSTGUG00000009699,ENSTGUG00000002252,ENSTGUG00000011620,ENSTGUG00000011270,ENSTGUG00000010443,ENSTGUG00000011002,ENSTGUG00000011675,ENSTGUG00000006249,ENSTGUG00000007464,ENSTGUG00000003967,ENSTGUG00000001497,ENSTGUG00000010850,ENSTGUG00000011011,ENSTGUG00000005068,ENSTGUG00000011346,ENSTGUG00000003419,ENSTGUG00000013396,ENSTGUG00000009404,ENSTGUG00000008575,ENSTGUG00000005839,ENSTGUG00000013562,ENSTGUG00000006860,ENSTGUG00000003005,ENSTGUG00000009895,ENSTGUG00000007109,ENSTGUG00000007227,ENSTGUG00000010111,ENSTGUG00000009159,ENSTGUG00000005403,ENSTGUG00000006499,ENSTGUG00000003730,ENSTGUG00000009031,ENSTGUG00000001481,ENSTGUG00000003666,ENSTGUG00000002279,ENSTGUG00000003310,ENSTGUG00000011411,ENSTGUG00000003942,ENSTGUG00000013382,ENSTGUG00000001666,ENSTGUG00000008794,ENSTGUG00000007758,ENSTGUG00000011075,ENSTGUG00000003657,ENSTGUG00000004359,ENSTGUG00000003443,ENSTGUG00000001463,ENSTGUG00000008907,ENSTGUG00000008341,ENSTGUG00000008930,ENSTGUG00000003364,ENSTGUG00000003352,ENSTGUG00000008811,ENSTGUG00000007724,ENSTGUG00000001657,ENSTGUG00000009659,ENSTGUG00000005132,ENSTGUG00000012490,ENSTGUG00000008832,ENSTGUG00000013555,ENSTGUG00000010647,ENSTGUG00000003319,ENSTGUG00000009344,ENSTGUG00000004414,ENSTGUG00000004164,ENSTGUG00000004528,ENSTGUG00000001510,ENSTGUG00000006822,ENSTGUG00000010853,ENSTGUG00000009907,ENSTGUG00000001505,ENSTGUG00000003432,ENSTGUG00000003105,ENSTGUG00000003746,ENSTGUG00000002303,ENSTGUG00000000166,ENSTGUG00000011903,ENSTGUG00000005280,ENSTGUG00000006120,ENSTGUG00000001526,ENSTGUG00000001847,ENSTGUG00000008042,ENSTGUG00000011254,ENSTGUG00000006031,ENSTGUG00000003561,ENSTGUG00000003983,ENSTGUG00000005353,ENSTGUG00000004629,ENSTGUG00000008841,ENSTGUG00000001856,ENSTGUG00000005065,ENSTGUG00000002030,ENSTGUG00000009901,ENSTGUG00000012180,ENSTGUG00000009524,ENSTGUG00000013395,ENSTGUG00000008374,ENSTGUG00000005254,ENSTGUG00000003089,ENSTGUG00000005019,ENSTGUG00000006658,ENSTGUG00000001974,ENSTGUG00000011035,ENSTGUG00000012066,ENSTGUG00000009884,ENSTGUG00000004885,ENSTGUG00000008854,ENSTGUG00000004004,ENSTGUG00000011023,ENSTGUG00000003882,ENSTGUG00000000193,ENSTGUG00000010807,ENSTGUG00000010266,ENSTGUG00000008700,ENSTGUG00000006178
path:tgu04070	 61	17488	 17	2446	 8.53	1.99	0.01500	0.008606	0.264	0.1420	Phosphatidylinositol signaling system - Taeniopygia guttata (zebra finch)	ENSTGUG00000011675,ENSTGUG00000006249,ENSTGUG00000007464,ENSTGUG00000001497,ENSTGUG00000010850,ENSTGUG00000004257,ENSTGUG00000009404,ENSTGUG00000008575,ENSTGUG00000001481,ENSTGUG00000000931,ENSTGUG00000004977,ENSTGUG00000009659,ENSTGUG00000005132,ENSTGUG00000010647,ENSTGUG00000009607,ENSTGUG00000009524,ENSTGUG00000008700
path:tgu00450	  8	17488	  5	2446	 1.12	4.47	0.01524	0.005816	0.264	0.1371	Selenocompound metabolism - Taeniopygia guttata (zebra finch)	ENSTGUG00000007227,ENSTGUG00000003942,ENSTGUG00000009417,ENSTGUG00000005019,ENSTGUG00000010266
path:tgu04141	 95	17488	 24	2446	13.29	1.81	0.01602	0.008009	0.264	0.1420	Protein processing in endoplasmic reticulum - Taeniopygia guttata (zebra finch)	ENSTGUG00000001446,ENSTGUG00000006786,ENSTGUG00000007279,ENSTGUG00000009367,ENSTGUG00000005149,ENSTGUG00000008505,ENSTGUG00000005787,ENSTGUG00000010316,ENSTGUG00000008788,ENSTGUG00000001790,ENSTGUG00000006974,ENSTGUG00000010453,ENSTGUG00000004523,ENSTGUG00000009380,ENSTGUG00000005958,ENSTGUG00000012415,ENSTGUG00000004459,ENSTGUG00000001870,ENSTGUG00000009026,ENSTGUG00000003533,ENSTGUG00000011181,ENSTGUG00000012155,ENSTGUG00000004095,ENSTGUG00000009565
