pathway	bin	blen	qin	qlen	qexp	fc	p.fisher	p.binom	p.fisher.fdr	p.binom.fdr	description	qin.list
path:tgu04010	132	17488	 41	2813	 21.23	1.93	0.000526	0.000111	0.0867	0.0183	MAPK signaling pathway - Taeniopygia guttata (zebra finch)	ENSTGUG00000003482,ENSTGUG00000003240,ENSTGUG00000011002,ENSTGUG00000001206,ENSTGUG00000004206,ENSTGUG00000011011,ENSTGUG00000004257,ENSTGUG00000004397,ENSTGUG00000011632,ENSTGUG00000003640,ENSTGUG00000008602,ENSTGUG00000001806,ENSTGUG00000004649,ENSTGUG00000000158,ENSTGUG00000003595,ENSTGUG00000000988,ENSTGUG00000008053,ENSTGUG00000012217,ENSTGUG00000002428,ENSTGUG00000006744,ENSTGUG00000010712,ENSTGUG00000005715,ENSTGUG00000004375,ENSTGUG00000002333,ENSTGUG00000006958,ENSTGUG00000001908,ENSTGUG00000006643,ENSTGUG00000007124,ENSTGUG00000001633,ENSTGUG00000018231,ENSTGUG00000009015,ENSTGUG00000009273,ENSTGUG00000009693,ENSTGUG00000006628,ENSTGUG00000007383,ENSTGUG00000008379,ENSTGUG00000011023,ENSTGUG00000003527,ENSTGUG00000001247,ENSTGUG00000012237,ENSTGUG00000000958
path:tgu04150	 37	17488	 15	2813	  5.95	2.52	0.004102	0.001278	0.2282	0.0857	mTOR signaling pathway - Taeniopygia guttata (zebra finch)	ENSTGUG00000003296,ENSTGUG00000002173,ENSTGUG00000004257,ENSTGUG00000011632,ENSTGUG00000012410,ENSTGUG00000008602,ENSTGUG00000004471,ENSTGUG00000004977,ENSTGUG00000001449,ENSTGUG00000011279,ENSTGUG00000012160,ENSTGUG00000009532,ENSTGUG00000005413,ENSTGUG00000001939,ENSTGUG00000002126
path:tgu00500	 23	17488	 11	2813	  3.70	2.97	0.004712	0.001557	0.2282	0.0857	Starch and sucrose metabolism - Taeniopygia guttata (zebra finch)	ENSTGUG00000002252,ENSTGUG00000005336,ENSTGUG00000008808,ENSTGUG00000004780,ENSTGUG00000009108,ENSTGUG00000009917,ENSTGUG00000011075,ENSTGUG00000004414,ENSTGUG00000003945,ENSTGUG00000003105,ENSTGUG00000003932
path:tgu04120	 76	17488	 24	2813	 12.22	1.96	0.005533	0.002244	0.2282	0.0926	Ubiquitin mediated proteolysis - Taeniopygia guttata (zebra finch)	ENSTGUG00000009577,ENSTGUG00000002027,ENSTGUG00000003344,ENSTGUG00000002262,ENSTGUG00000009367,ENSTGUG00000005149,ENSTGUG00000000037,ENSTGUG00000003508,ENSTGUG00000005947,ENSTGUG00000001915,ENSTGUG00000001790,ENSTGUG00000008833,ENSTGUG00000005309,ENSTGUG00000003489,ENSTGUG00000008793,ENSTGUG00000008567,ENSTGUG00000003345,ENSTGUG00000011557,ENSTGUG00000005017,ENSTGUG00000003125,ENSTGUG00000005711,ENSTGUG00000004569,ENSTGUG00000003533,ENSTGUG00000003528
path:tgu00591	 12	17488	  7	2813	  1.93	3.63	0.010671	0.003737	0.3290	0.1233	Linoleic acid metabolism - Taeniopygia guttata (zebra finch)	ENSTGUG00000011002,ENSTGUG00000011011,ENSTGUG00000013411,ENSTGUG00000009722,ENSTGUG00000004413,ENSTGUG00000004164,ENSTGUG00000011023
path:tgu01100	666	17488	136	2813	107.13	1.27	0.012195	0.005752	0.3290	0.1445	Metabolic pathways - Taeniopygia guttata (zebra finch)	ENSTGUG00000006616,ENSTGUG00000006771,ENSTGUG00000000178,ENSTGUG00000001462,ENSTGUG00000003568,ENSTGUG00000009858,ENSTGUG00000002244,ENSTGUG00000013376,ENSTGUG00000002252,ENSTGUG00000011620,ENSTGUG00000011270,ENSTGUG00000002318,ENSTGUG00000011751,ENSTGUG00000005336,ENSTGUG00000008808,ENSTGUG00000006552,ENSTGUG00000011002,ENSTGUG00000011532,ENSTGUG00000006249,ENSTGUG00000007464,ENSTGUG00000003967,ENSTGUG00000001497,ENSTGUG00000010850,ENSTGUG00000011011,ENSTGUG00000005068,ENSTGUG00000011346,ENSTGUG00000003419,ENSTGUG00000013396,ENSTGUG00000005839,ENSTGUG00000003005,ENSTGUG00000007109,ENSTGUG00000007227,ENSTGUG00000009159,ENSTGUG00000005931,ENSTGUG00000005403,ENSTGUG00000003730,ENSTGUG00000001481,ENSTGUG00000003666,ENSTGUG00000002279,ENSTGUG00000003310,ENSTGUG00000002411,ENSTGUG00000011411,ENSTGUG00000003942,ENSTGUG00000004780,ENSTGUG00000013382,ENSTGUG00000009108,ENSTGUG00000001666,ENSTGUG00000009917,ENSTGUG00000008794,ENSTGUG00000005495,ENSTGUG00000004586,ENSTGUG00000013411,ENSTGUG00000012085,ENSTGUG00000011075,ENSTGUG00000003657,ENSTGUG00000007052,ENSTGUG00000002313,ENSTGUG00000004359,ENSTGUG00000001463,ENSTGUG00000000380,ENSTGUG00000008341,ENSTGUG00000003364,ENSTGUG00000009722,ENSTGUG00000003352,ENSTGUG00000003144,ENSTGUG00000004333,ENSTGUG00000006111,ENSTGUG00000001657,ENSTGUG00000009659,ENSTGUG00000007619,ENSTGUG00000001496,ENSTGUG00000009425,ENSTGUG00000009888,ENSTGUG00000005132,ENSTGUG00000011740,ENSTGUG00000004413,ENSTGUG00000012490,ENSTGUG00000010647,ENSTGUG00000011761,ENSTGUG00000003319,ENSTGUG00000009344,ENSTGUG00000005456,ENSTGUG00000004414,ENSTGUG00000004164,ENSTGUG00000004528,ENSTGUG00000003945,ENSTGUG00000012171,ENSTGUG00000006822,ENSTGUG00000010853,ENSTGUG00000005611,ENSTGUG00000004636,ENSTGUG00000001505,ENSTGUG00000003432,ENSTGUG00000003105,ENSTGUG00000000826,ENSTGUG00000003746,ENSTGUG00000002303,ENSTGUG00000000166,ENSTGUG00000005280,ENSTGUG00000004364,ENSTGUG00000001526,ENSTGUG00000013375,ENSTGUG00000002278,ENSTGUG00000008042,ENSTGUG00000011254,ENSTGUG00000006031,ENSTGUG00000009147,ENSTGUG00000005200,ENSTGUG00000003983,ENSTGUG00000004291,ENSTGUG00000005020,ENSTGUG00000005065,ENSTGUG00000002030,ENSTGUG00000013395,ENSTGUG00000008840,ENSTGUG00000000771,ENSTGUG00000003089,ENSTGUG00000007857,ENSTGUG00000005019,ENSTGUG00000006658,ENSTGUG00000001974,ENSTGUG00000011035,ENSTGUG00000012066,ENSTGUG00000005856,ENSTGUG00000004004,ENSTGUG00000004678,ENSTGUG00000002952,ENSTGUG00000000205,ENSTGUG00000004383,ENSTGUG00000011023,ENSTGUG00000004666,ENSTGUG00000003882,ENSTGUG00000010807,ENSTGUG00000003932,ENSTGUG00000008700,ENSTGUG00000009075
path:tgu04110	 79	17488	 23	2813	 12.71	1.81	0.014498	0.007104	0.3290	0.1445	Cell cycle - Taeniopygia guttata (zebra finch)	ENSTGUG00000002027,ENSTGUG00000007143,ENSTGUG00000012205,ENSTGUG00000005332,ENSTGUG00000001525,ENSTGUG00000001420,ENSTGUG00000000037,ENSTGUG00000005947,ENSTGUG00000005078,ENSTGUG00000001915,ENSTGUG00000001790,ENSTGUG00000013380,ENSTGUG00000008450,ENSTGUG00000011610,ENSTGUG00000012439,ENSTGUG00000008533,ENSTGUG00000006148,ENSTGUG00000003722,ENSTGUG00000008459,ENSTGUG00000005711,ENSTGUG00000003528,ENSTGUG00000012237,ENSTGUG00000011831
path:tgu05168	 74	17488	 22	2813	 11.90	1.85	0.016583	0.007884	0.3290	0.1445	Herpes simplex infection - Taeniopygia guttata (zebra finch)	ENSTGUG00000013420,ENSTGUG00000006425,ENSTGUG00000002027,ENSTGUG00000000765,ENSTGUG00000005332,ENSTGUG00000001648,ENSTGUG00000005179,ENSTGUG00000004649,ENSTGUG00000005357,ENSTGUG00000003595,ENSTGUG00000005181,ENSTGUG00000001516,ENSTGUG00000012217,ENSTGUG00000002428,ENSTGUG00000008788,ENSTGUG00000001790,ENSTGUG00000006485,ENSTGUG00000003345,ENSTGUG00000006567,ENSTGUG00000009693,ENSTGUG00000006555,ENSTGUG00000011425
path:tgu04142	 67	17488	 20	2813	 10.78	1.86	0.018912	0.008890	0.3290	0.1467	Lysosome - Taeniopygia guttata (zebra finch)	ENSTGUG00000009589,ENSTGUG00000005432,ENSTGUG00000003629,ENSTGUG00000004913,ENSTGUG00000011411,ENSTGUG00000007052,ENSTGUG00000004140,ENSTGUG00000011324,ENSTGUG00000004528,ENSTGUG00000003105,ENSTGUG00000008809,ENSTGUG00000003089,ENSTGUG00000006678,ENSTGUG00000002344,ENSTGUG00000004678,ENSTGUG00000000205,ENSTGUG00000000801,ENSTGUG00000006605,ENSTGUG00000006468,ENSTGUG00000004129
path:tgu00590	 24	17488	 10	2813	  3.86	2.59	0.020459	0.006402	0.3290	0.1445	Arachidonic acid metabolism - Taeniopygia guttata (zebra finch)	ENSTGUG00000011002,ENSTGUG00000011011,ENSTGUG00000013411,ENSTGUG00000009722,ENSTGUG00000003144,ENSTGUG00000004413,ENSTGUG00000004164,ENSTGUG00000006822,ENSTGUG00000003983,ENSTGUG00000011023
