pathway	bin	blen	qin	qlen	qexp	fc	p.fisher	p.binom	p.fisher.fdr	p.binom.fdr	description	qin.list
path:tgu01100	666	17488	53	902	34.351	1.54	0.00346	0.00222	0.168	0.102	Metabolic pathways - Taeniopygia guttata (zebra finch)	ENSTGUG00000010494,ENSTGUG00000010443,ENSTGUG00000006249,ENSTGUG00000011958,ENSTGUG00000005068,ENSTGUG00000009404,ENSTGUG00000013562,ENSTGUG00000009031,ENSTGUG00000008362,ENSTGUG00000007297,ENSTGUG00000009986,ENSTGUG00000003783,ENSTGUG00000005790,ENSTGUG00000004450,ENSTGUG00000012607,ENSTGUG00000012884,ENSTGUG00000007052,ENSTGUG00000008930,ENSTGUG00000008539,ENSTGUG00000008465,ENSTGUG00000004333,ENSTGUG00000004318,ENSTGUG00000005132,ENSTGUG00000004413,ENSTGUG00000010118,ENSTGUG00000013555,ENSTGUG00000008967,ENSTGUG00000005943,ENSTGUG00000008503,ENSTGUG00000011256,ENSTGUG00000006503,ENSTGUG00000008587,ENSTGUG00000004364,ENSTGUG00000006120,ENSTGUG00000003818,ENSTGUG00000006031,ENSTGUG00000008841,ENSTGUG00000007275,ENSTGUG00000005065,ENSTGUG00000012180,ENSTGUG00000008001,ENSTGUG00000005254,ENSTGUG00000005019,ENSTGUG00000008491,ENSTGUG00000004885,ENSTGUG00000003802,ENSTGUG00000011271,ENSTGUG00000007403,ENSTGUG00000011966,ENSTGUG00000007446,ENSTGUG00000007821,ENSTGUG00000005961,ENSTGUG00000006178
path:tgu00340	 17	17488	 5	902	 0.877	5.70	0.00368	0.00208	0.168	0.102	Histidine metabolism - Taeniopygia guttata (zebra finch)	ENSTGUG00000008503,ENSTGUG00000011836,ENSTGUG00000008587,ENSTGUG00000008491,ENSTGUG00000007446
path:tgu04142	 67	17488	10	902	 3.456	2.89	0.00427	0.00297	0.168	0.102	Lysosome - Taeniopygia guttata (zebra finch)	ENSTGUG00000013146,ENSTGUG00000006566,ENSTGUG00000009185,ENSTGUG00000004913,ENSTGUG00000012588,ENSTGUG00000007052,ENSTGUG00000003895,ENSTGUG00000003818,ENSTGUG00000000801,ENSTGUG00000007403
path:tgu00600	 27	17488	 6	902	 1.393	4.31	0.00486	0.00309	0.168	0.102	Sphingolipid metabolism - Taeniopygia guttata (zebra finch)	ENSTGUG00000006566,ENSTGUG00000005068,ENSTGUG00000007052,ENSTGUG00000004333,ENSTGUG00000010118,ENSTGUG00000005065
path:tgu04672	 11	17488	 4	902	 0.567	7.05	0.00508	0.00274	0.168	0.102	Intestinal immune network for IgA production - Taeniopygia guttata (zebra finch)	ENSTGUG00000008242,ENSTGUG00000001084,ENSTGUG00000011822,ENSTGUG00000001385
path:tgu00562	 43	17488	 7	902	 2.218	3.16	0.01057	0.00769	0.254	0.181	Inositol phosphate metabolism - Taeniopygia guttata (zebra finch)	ENSTGUG00000006249,ENSTGUG00000009404,ENSTGUG00000012607,ENSTGUG00000004977,ENSTGUG00000004318,ENSTGUG00000005132,ENSTGUG00000007275
path:tgu03022	 23	17488	 5	902	 1.186	4.21	0.01077	0.00735	0.254	0.181	Basal transcription factors - Taeniopygia guttata (zebra finch)	ENSTGUG00000007101,ENSTGUG00000009824,ENSTGUG00000006593,ENSTGUG00000011544,ENSTGUG00000008904
path:tgu00561	 38	17488	 6	902	 1.960	3.06	0.01968	0.01505	0.406	0.310	Glycerolipid metabolism - Taeniopygia guttata (zebra finch)	ENSTGUG00000006566,ENSTGUG00000013562,ENSTGUG00000006120,ENSTGUG00000006031,ENSTGUG00000013561,ENSTGUG00000005961
path:tgu04020	 91	17488	10	902	 4.694	2.13	0.03249	0.03076	0.594	0.494	Calcium signaling pathway - Taeniopygia guttata (zebra finch)	ENSTGUG00000009177,ENSTGUG00000001806,ENSTGUG00000009230,ENSTGUG00000004318,ENSTGUG00000007142,ENSTGUG00000004160,ENSTGUG00000005850,ENSTGUG00000007275,ENSTGUG00000018237,ENSTGUG00000010403
path:tgu04146	 48	17488	 6	902	 2.476	2.42	0.04791	0.04020	0.594	0.494	Peroxisome - Taeniopygia guttata (zebra finch)	ENSTGUG00000009031,ENSTGUG00000004450,ENSTGUG00000005222,ENSTGUG00000009841,ENSTGUG00000004852,ENSTGUG00000004363
path:tgu04070	 61	17488	 7	902	 3.146	2.22	0.04847	0.04114	0.594	0.494	Phosphatidylinositol signaling system - Taeniopygia guttata (zebra finch)	ENSTGUG00000006249,ENSTGUG00000009404,ENSTGUG00000012607,ENSTGUG00000004977,ENSTGUG00000004318,ENSTGUG00000005132,ENSTGUG00000007275
