pathway	bin	blen	qin	qlen	qexp	fc	p.fisher	p.binom	p.fisher.fdr	p.binom.fdr	description	qin.list
path:tgu01100	666	17488	107	2007	76.43	1.40	0.00135	0.000694	0.223	0.115	Metabolic pathways - Taeniopygia guttata (zebra finch)	ENSTGUG00000010383,ENSTGUG00000007158,ENSTGUG00000010136,ENSTGUG00000010494,ENSTGUG00000009699,ENSTGUG00000007648,ENSTGUG00000000830,ENSTGUG00000010443,ENSTGUG00000011675,ENSTGUG00000012960,ENSTGUG00000003390,ENSTGUG00000009295,ENSTGUG00000011958,ENSTGUG00000005211,ENSTGUG00000009404,ENSTGUG00000008575,ENSTGUG00000013562,ENSTGUG00000010996,ENSTGUG00000010111,ENSTGUG00000008344,ENSTGUG00000002350,ENSTGUG00000009031,ENSTGUG00000008362,ENSTGUG00000009687,ENSTGUG00000007297,ENSTGUG00000010506,ENSTGUG00000009986,ENSTGUG00000003783,ENSTGUG00000009540,ENSTGUG00000009568,ENSTGUG00000011739,ENSTGUG00000005790,ENSTGUG00000007758,ENSTGUG00000004450,ENSTGUG00000012607,ENSTGUG00000012884,ENSTGUG00000001636,ENSTGUG00000000800,ENSTGUG00000008930,ENSTGUG00000001545,ENSTGUG00000008539,ENSTGUG00000008465,ENSTGUG00000008811,ENSTGUG00000007724,ENSTGUG00000009518,ENSTGUG00000010054,ENSTGUG00000007854,ENSTGUG00000004318,ENSTGUG00000010499,ENSTGUG00000002225,ENSTGUG00000010118,ENSTGUG00000013555,ENSTGUG00000008967,ENSTGUG00000011711,ENSTGUG00000000766,ENSTGUG00000009661,ENSTGUG00000001347,ENSTGUG00000001510,ENSTGUG00000005943,ENSTGUG00000008503,ENSTGUG00000011465,ENSTGUG00000009907,ENSTGUG00000011256,ENSTGUG00000010251,ENSTGUG00000006503,ENSTGUG00000008587,ENSTGUG00000009626,ENSTGUG00000005855,ENSTGUG00000005910,ENSTGUG00000006120,ENSTGUG00000003818,ENSTGUG00000010104,ENSTGUG00000001847,ENSTGUG00000002522,ENSTGUG00000001326,ENSTGUG00000005353,ENSTGUG00000004629,ENSTGUG00000008841,ENSTGUG00000007275,ENSTGUG00000001856,ENSTGUG00000003294,ENSTGUG00000008563,ENSTGUG00000011780,ENSTGUG00000008245,ENSTGUG00000009901,ENSTGUG00000012180,ENSTGUG00000006015,ENSTGUG00000009524,ENSTGUG00000008374,ENSTGUG00000008001,ENSTGUG00000005254,ENSTGUG00000010458,ENSTGUG00000008491,ENSTGUG00000009884,ENSTGUG00000004885,ENSTGUG00000008854,ENSTGUG00000003802,ENSTGUG00000011271,ENSTGUG00000009561,ENSTGUG00000007403,ENSTGUG00000011966,ENSTGUG00000002085,ENSTGUG00000009634,ENSTGUG00000007446,ENSTGUG00000007821,ENSTGUG00000005961,ENSTGUG00000006178
path:tgu00970	 29	17488	 10	2007	 3.33	3.00	0.00508	0.002307	0.302	0.144	Aminoacyl-tRNA biosynthesis - Taeniopygia guttata (zebra finch)	ENSTGUG00000005726,ENSTGUG00000011810,ENSTGUG00000009090,ENSTGUG00000008400,ENSTGUG00000009099,ENSTGUG00000009417,ENSTGUG00000012180,ENSTGUG00000006015,ENSTGUG00000009561,ENSTGUG00000001499
path:tgu04114	 66	17488	 17	2007	 7.57	2.24	0.00548	0.002625	0.302	0.144	Oocyte meiosis - Taeniopygia guttata (zebra finch)	ENSTGUG00000001762,ENSTGUG00000001417,ENSTGUG00000001917,ENSTGUG00000005486,ENSTGUG00000011936,ENSTGUG00000004938,ENSTGUG00000005982,ENSTGUG00000008504,ENSTGUG00000001291,ENSTGUG00000007142,ENSTGUG00000002334,ENSTGUG00000009363,ENSTGUG00000009440,ENSTGUG00000003464,ENSTGUG00000001287,ENSTGUG00000009328,ENSTGUG00000009326
path:tgu04142	 67	17488	 16	2007	 7.69	2.08	0.01647	0.006140	0.559	0.253	Lysosome - Taeniopygia guttata (zebra finch)	ENSTGUG00000013146,ENSTGUG00000001690,ENSTGUG00000005997,ENSTGUG00000008285,ENSTGUG00000006566,ENSTGUG00000009185,ENSTGUG00000010996,ENSTGUG00000012588,ENSTGUG00000011739,ENSTGUG00000007758,ENSTGUG00000003895,ENSTGUG00000003818,ENSTGUG00000005434,ENSTGUG00000009714,ENSTGUG00000007403,ENSTGUG00000009428
path:tgu04672	 11	17488	  5	2007	 1.26	3.96	0.01906	0.009465	0.559	0.312	Intestinal immune network for IgA production - Taeniopygia guttata (zebra finch)	ENSTGUG00000008242,ENSTGUG00000009769,ENSTGUG00000011822,ENSTGUG00000001385,ENSTGUG00000009766
path:tgu00340	 17	17488	  6	2007	 1.95	3.08	0.02565	0.014810	0.559	0.348	Histidine metabolism - Taeniopygia guttata (zebra finch)	ENSTGUG00000008503,ENSTGUG00000011836,ENSTGUG00000008587,ENSTGUG00000008491,ENSTGUG00000008854,ENSTGUG00000007446
path:tgu04115	 38	17488	 10	2007	 4.36	2.29	0.02778	0.013991	0.559	0.348	p53 signaling pathway - Taeniopygia guttata (zebra finch)	ENSTGUG00000001787,ENSTGUG00000007179,ENSTGUG00000007251,ENSTGUG00000001728,ENSTGUG00000011936,ENSTGUG00000006437,ENSTGUG00000005982,ENSTGUG00000013192,ENSTGUG00000012113,ENSTGUG00000005350
path:tgu03022	 23	17488	  7	2007	 2.64	2.65	0.02964	0.018390	0.559	0.348	Basal transcription factors - Taeniopygia guttata (zebra finch)	ENSTGUG00000006988,ENSTGUG00000010278,ENSTGUG00000009824,ENSTGUG00000006593,ENSTGUG00000001771,ENSTGUG00000011544,ENSTGUG00000008904
path:tgu00983	 18	17488	  6	2007	 2.07	2.90	0.03130	0.018996	0.559	0.348	Drug metabolism - other enzymes - Taeniopygia guttata (zebra finch)	ENSTGUG00000004450,ENSTGUG00000010054,ENSTGUG00000007854,ENSTGUG00000011256,ENSTGUG00000009626,ENSTGUG00000006234
path:tgu00230	101	17488	 20	2007	11.59	1.73	0.03387	0.025104	0.559	0.414	Purine metabolism - Taeniopygia guttata (zebra finch)	ENSTGUG00000010383,ENSTGUG00000005155,ENSTGUG00000010136,ENSTGUG00000000830,ENSTGUG00000003390,ENSTGUG00000010111,ENSTGUG00000005695,ENSTGUG00000003995,ENSTGUG00000009501,ENSTGUG00000004450,ENSTGUG00000001636,ENSTGUG00000005097,ENSTGUG00000009073,ENSTGUG00000008504,ENSTGUG00000007142,ENSTGUG00000011256,ENSTGUG00000010251,ENSTGUG00000006503,ENSTGUG00000009901,ENSTGUG00000008001
