pathway	bin	blen	qin	qlen	qexp	fc	p.fisher	p.binom	p.fisher.fdr	p.binom.fdr	description	qin.list
path:tgu01100	666	17488	243	4820	183.56	1.32	0.000178	1.74e-05	0.0293	0.00288	Metabolic pathways - Taeniopygia guttata (zebra finch)	ENSTGUG00000006616,ENSTGUG00000010383,ENSTGUG00000007158,ENSTGUG00000006771,ENSTGUG00000000178,ENSTGUG00000010136,ENSTGUG00000001462,ENSTGUG00000003568,ENSTGUG00000009858,ENSTGUG00000002244,ENSTGUG00000010494,ENSTGUG00000009699,ENSTGUG00000013376,ENSTGUG00000007648,ENSTGUG00000002252,ENSTGUG00000011620,ENSTGUG00000011270,ENSTGUG00000000830,ENSTGUG00000002318,ENSTGUG00000011751,ENSTGUG00000005336,ENSTGUG00000008808,ENSTGUG00000006552,ENSTGUG00000010443,ENSTGUG00000011002,ENSTGUG00000011675,ENSTGUG00000011532,ENSTGUG00000006249,ENSTGUG00000012960,ENSTGUG00000003390,ENSTGUG00000007464,ENSTGUG00000003967,ENSTGUG00000001497,ENSTGUG00000010850,ENSTGUG00000011011,ENSTGUG00000009295,ENSTGUG00000011958,ENSTGUG00000005068,ENSTGUG00000005211,ENSTGUG00000011346,ENSTGUG00000003419,ENSTGUG00000013396,ENSTGUG00000009404,ENSTGUG00000008575,ENSTGUG00000005839,ENSTGUG00000013562,ENSTGUG00000010996,ENSTGUG00000003005,ENSTGUG00000007109,ENSTGUG00000007227,ENSTGUG00000010111,ENSTGUG00000008344,ENSTGUG00000009159,ENSTGUG00000005931,ENSTGUG00000005403,ENSTGUG00000003730,ENSTGUG00000002350,ENSTGUG00000009031,ENSTGUG00000008362,ENSTGUG00000001481,ENSTGUG00000009687,ENSTGUG00000007297,ENSTGUG00000003666,ENSTGUG00000010506,ENSTGUG00000009986,ENSTGUG00000002279,ENSTGUG00000003310,ENSTGUG00000002411,ENSTGUG00000011411,ENSTGUG00000003942,ENSTGUG00000004780,ENSTGUG00000003783,ENSTGUG00000013382,ENSTGUG00000009540,ENSTGUG00000009108,ENSTGUG00000009568,ENSTGUG00000001666,ENSTGUG00000011739,ENSTGUG00000009917,ENSTGUG00000005790,ENSTGUG00000008794,ENSTGUG00000005495,ENSTGUG00000004586,ENSTGUG00000013411,ENSTGUG00000007758,ENSTGUG00000012085,ENSTGUG00000004450,ENSTGUG00000011075,ENSTGUG00000012607,ENSTGUG00000003657,ENSTGUG00000012884,ENSTGUG00000007052,ENSTGUG00000001636,ENSTGUG00000000800,ENSTGUG00000002313,ENSTGUG00000004359,ENSTGUG00000001463,ENSTGUG00000000380,ENSTGUG00000008341,ENSTGUG00000008930,ENSTGUG00000003364,ENSTGUG00000009722,ENSTGUG00000003352,ENSTGUG00000001545,ENSTGUG00000008539,ENSTGUG00000008465,ENSTGUG00000003144,ENSTGUG00000004333,ENSTGUG00000008811,ENSTGUG00000007724,ENSTGUG00000009518,ENSTGUG00000010054,ENSTGUG00000007854,ENSTGUG00000006111,ENSTGUG00000004318,ENSTGUG00000001657,ENSTGUG00000009659,ENSTGUG00000010499,ENSTGUG00000007619,ENSTGUG00000001496,ENSTGUG00000009425,ENSTGUG00000009888,ENSTGUG00000005132,ENSTGUG00000011740,ENSTGUG00000002225,ENSTGUG00000004413,ENSTGUG00000012490,ENSTGUG00000010118,ENSTGUG00000013555,ENSTGUG00000010647,ENSTGUG00000008967,ENSTGUG00000011761,ENSTGUG00000003319,ENSTGUG00000009344,ENSTGUG00000011711,ENSTGUG00000000766,ENSTGUG00000005456,ENSTGUG00000004414,ENSTGUG00000004164,ENSTGUG00000004528,ENSTGUG00000003945,ENSTGUG00000009661,ENSTGUG00000001347,ENSTGUG00000001510,ENSTGUG00000012171,ENSTGUG00000006822,ENSTGUG00000005943,ENSTGUG00000010853,ENSTGUG00000008503,ENSTGUG00000011465,ENSTGUG00000009907,ENSTGUG00000005611,ENSTGUG00000011256,ENSTGUG00000004636,ENSTGUG00000001505,ENSTGUG00000003432,ENSTGUG00000010251,ENSTGUG00000003105,ENSTGUG00000000826,ENSTGUG00000003746,ENSTGUG00000002303,ENSTGUG00000006503,ENSTGUG00000000166,ENSTGUG00000008587,ENSTGUG00000009626,ENSTGUG00000005855,ENSTGUG00000005280,ENSTGUG00000004364,ENSTGUG00000005910,ENSTGUG00000006120,ENSTGUG00000003818,ENSTGUG00000001526,ENSTGUG00000013375,ENSTGUG00000010104,ENSTGUG00000002278,ENSTGUG00000001847,ENSTGUG00000008042,ENSTGUG00000011254,ENSTGUG00000006031,ENSTGUG00000009147,ENSTGUG00000005200,ENSTGUG00000002522,ENSTGUG00000003983,ENSTGUG00000004291,ENSTGUG00000001326,ENSTGUG00000005353,ENSTGUG00000004629,ENSTGUG00000008841,ENSTGUG00000007275,ENSTGUG00000001856,ENSTGUG00000005020,ENSTGUG00000003294,ENSTGUG00000005065,ENSTGUG00000008563,ENSTGUG00000011780,ENSTGUG00000002030,ENSTGUG00000008245,ENSTGUG00000009901,ENSTGUG00000012180,ENSTGUG00000006015,ENSTGUG00000009524,ENSTGUG00000013395,ENSTGUG00000008840,ENSTGUG00000008374,ENSTGUG00000000771,ENSTGUG00000008001,ENSTGUG00000005254,ENSTGUG00000003089,ENSTGUG00000007857,ENSTGUG00000010458,ENSTGUG00000005019,ENSTGUG00000006658,ENSTGUG00000001974,ENSTGUG00000008491,ENSTGUG00000011035,ENSTGUG00000012066,ENSTGUG00000009884,ENSTGUG00000005856,ENSTGUG00000004885,ENSTGUG00000008854,ENSTGUG00000004004,ENSTGUG00000003802,ENSTGUG00000004678,ENSTGUG00000002952,ENSTGUG00000011271,ENSTGUG00000000205,ENSTGUG00000009561,ENSTGUG00000004383,ENSTGUG00000011023,ENSTGUG00000007403,ENSTGUG00000004666,ENSTGUG00000011966,ENSTGUG00000003882,ENSTGUG00000010807,ENSTGUG00000002085,ENSTGUG00000003932,ENSTGUG00000008700,ENSTGUG00000009634,ENSTGUG00000007446,ENSTGUG00000007821,ENSTGUG00000009075,ENSTGUG00000005961,ENSTGUG00000006178
path:tgu04142	 67	17488	 36	4820	 18.47	1.95	0.001689	2.46e-04	0.1393	0.02026	Lysosome - Taeniopygia guttata (zebra finch)	ENSTGUG00000013146,ENSTGUG00000001690,ENSTGUG00000009589,ENSTGUG00000005997,ENSTGUG00000005432,ENSTGUG00000008285,ENSTGUG00000006566,ENSTGUG00000003629,ENSTGUG00000009185,ENSTGUG00000010996,ENSTGUG00000004913,ENSTGUG00000012588,ENSTGUG00000011411,ENSTGUG00000011739,ENSTGUG00000007758,ENSTGUG00000007052,ENSTGUG00000004140,ENSTGUG00000011324,ENSTGUG00000003895,ENSTGUG00000004528,ENSTGUG00000003105,ENSTGUG00000003818,ENSTGUG00000008809,ENSTGUG00000005434,ENSTGUG00000009714,ENSTGUG00000003089,ENSTGUG00000006678,ENSTGUG00000002344,ENSTGUG00000004678,ENSTGUG00000000205,ENSTGUG00000000801,ENSTGUG00000007403,ENSTGUG00000006605,ENSTGUG00000006468,ENSTGUG00000009428,ENSTGUG00000004129
path:tgu04114	 66	17488	 34	4820	 18.19	1.87	0.004689	8.51e-04	0.2361	0.04682	Oocyte meiosis - Taeniopygia guttata (zebra finch)	ENSTGUG00000002581,ENSTGUG00000001762,ENSTGUG00000006425,ENSTGUG00000001417,ENSTGUG00000001917,ENSTGUG00000005332,ENSTGUG00000008602,ENSTGUG00000000037,ENSTGUG00000005947,ENSTGUG00000005486,ENSTGUG00000011936,ENSTGUG00000001915,ENSTGUG00000004938,ENSTGUG00000001790,ENSTGUG00000005982,ENSTGUG00000008504,ENSTGUG00000001291,ENSTGUG00000007142,ENSTGUG00000006643,ENSTGUG00000011279,ENSTGUG00000002334,ENSTGUG00000009363,ENSTGUG00000001798,ENSTGUG00000009440,ENSTGUG00000003464,ENSTGUG00000001287,ENSTGUG00000018231,ENSTGUG00000005711,ENSTGUG00000009328,ENSTGUG00000009326,ENSTGUG00000003528,ENSTGUG00000003527,ENSTGUG00000011831,ENSTGUG00000002760
path:tgu04120	 76	17488	 37	4820	 20.95	1.77	0.005723	1.33e-03	0.2361	0.05483	Ubiquitin mediated proteolysis - Taeniopygia guttata (zebra finch)	ENSTGUG00000009577,ENSTGUG00000001286,ENSTGUG00000002027,ENSTGUG00000003344,ENSTGUG00000011745,ENSTGUG00000001787,ENSTGUG00000002262,ENSTGUG00000009367,ENSTGUG00000005149,ENSTGUG00000000037,ENSTGUG00000003508,ENSTGUG00000005947,ENSTGUG00000010355,ENSTGUG00000006360,ENSTGUG00000001915,ENSTGUG00000001790,ENSTGUG00000008833,ENSTGUG00000009380,ENSTGUG00000009155,ENSTGUG00000001291,ENSTGUG00000005309,ENSTGUG00000003489,ENSTGUG00000008793,ENSTGUG00000009440,ENSTGUG00000008567,ENSTGUG00000003345,ENSTGUG00000011557,ENSTGUG00000000708,ENSTGUG00000005017,ENSTGUG00000003125,ENSTGUG00000008325,ENSTGUG00000005711,ENSTGUG00000004569,ENSTGUG00000003533,ENSTGUG00000010445,ENSTGUG00000009328,ENSTGUG00000003528
path:tgu04150	 37	17488	 21	4820	 10.20	2.06	0.010083	2.39e-03	0.3327	0.07874	mTOR signaling pathway - Taeniopygia guttata (zebra finch)	ENSTGUG00000003296,ENSTGUG00000002173,ENSTGUG00000004257,ENSTGUG00000011632,ENSTGUG00000002263,ENSTGUG00000012410,ENSTGUG00000008602,ENSTGUG00000006437,ENSTGUG00000004471,ENSTGUG00000004977,ENSTGUG00000001449,ENSTGUG00000005490,ENSTGUG00000011279,ENSTGUG00000012160,ENSTGUG00000009532,ENSTGUG00000006215,ENSTGUG00000005413,ENSTGUG00000001939,ENSTGUG00000004721,ENSTGUG00000009326,ENSTGUG00000002126
path:tgu04010	132	17488	 55	4820	 36.38	1.51	0.012192	3.44e-03	0.3353	0.09158	MAPK signaling pathway - Taeniopygia guttata (zebra finch)	ENSTGUG00000003482,ENSTGUG00000003240,ENSTGUG00000011002,ENSTGUG00000001206,ENSTGUG00000004206,ENSTGUG00000005374,ENSTGUG00000011011,ENSTGUG00000004257,ENSTGUG00000004397,ENSTGUG00000011632,ENSTGUG00000003640,ENSTGUG00000008602,ENSTGUG00000008103,ENSTGUG00000001806,ENSTGUG00000009253,ENSTGUG00000004649,ENSTGUG00000000158,ENSTGUG00000010198,ENSTGUG00000003595,ENSTGUG00000000988,ENSTGUG00000008053,ENSTGUG00000012217,ENSTGUG00000002428,ENSTGUG00000010239,ENSTGUG00000006744,ENSTGUG00000010712,ENSTGUG00000005715,ENSTGUG00000004375,ENSTGUG00000005490,ENSTGUG00000002333,ENSTGUG00000006958,ENSTGUG00000001908,ENSTGUG00000005379,ENSTGUG00000006643,ENSTGUG00000009363,ENSTGUG00000007124,ENSTGUG00000003368,ENSTGUG00000006215,ENSTGUG00000001633,ENSTGUG00000001532,ENSTGUG00000018231,ENSTGUG00000009015,ENSTGUG00000009273,ENSTGUG00000009693,ENSTGUG00000006208,ENSTGUG00000006628,ENSTGUG00000004738,ENSTGUG00000008983,ENSTGUG00000007383,ENSTGUG00000008379,ENSTGUG00000011023,ENSTGUG00000003527,ENSTGUG00000001247,ENSTGUG00000012237,ENSTGUG00000000958
path:tgu00564	 49	17488	 25	4820	 13.51	1.85	0.015424	3.89e-03	0.3636	0.09158	Glycerophospholipid metabolism - Taeniopygia guttata (zebra finch)	ENSTGUG00000007158,ENSTGUG00000011751,ENSTGUG00000011002,ENSTGUG00000007464,ENSTGUG00000001497,ENSTGUG00000011011,ENSTGUG00000005211,ENSTGUG00000011346,ENSTGUG00000013411,ENSTGUG00000011021,ENSTGUG00000009841,ENSTGUG00000008465,ENSTGUG00000009518,ENSTGUG00000004413,ENSTGUG00000010647,ENSTGUG00000003319,ENSTGUG00000009344,ENSTGUG00000004164,ENSTGUG00000006031,ENSTGUG00000002522,ENSTGUG00000009524,ENSTGUG00000011023,ENSTGUG00000011966,ENSTGUG00000005867,ENSTGUG00000005961
path:tgu04141	 95	17488	 41	4820	 26.18	1.57	0.020908	5.91e-03	0.4062	0.12182	Protein processing in endoplasmic reticulum - Taeniopygia guttata (zebra finch)	ENSTGUG00000009710,ENSTGUG00000010283,ENSTGUG00000001446,ENSTGUG00000007279,ENSTGUG00000007660,ENSTGUG00000004626,ENSTGUG00000008182,ENSTGUG00000008103,ENSTGUG00000012026,ENSTGUG00000009367,ENSTGUG00000005149,ENSTGUG00000008505,ENSTGUG00000005787,ENSTGUG00000005872,ENSTGUG00000010316,ENSTGUG00000002428,ENSTGUG00000002313,ENSTGUG00000008788,ENSTGUG00000001790,ENSTGUG00000006039,ENSTGUG00000010453,ENSTGUG00000004523,ENSTGUG00000009380,ENSTGUG00000001291,ENSTGUG00000005958,ENSTGUG00000012415,ENSTGUG00000004459,ENSTGUG00000001870,ENSTGUG00000011266,ENSTGUG00000001269,ENSTGUG00000009026,ENSTGUG00000002185,ENSTGUG00000007857,ENSTGUG00000003533,ENSTGUG00000012387,ENSTGUG00000011181,ENSTGUG00000012155,ENSTGUG00000002085,ENSTGUG00000004095,ENSTGUG00000009565,ENSTGUG00000007959
path:tgu04110	 79	17488	 35	4820	 21.77	1.61	0.022159	7.08e-03	0.4062	0.12977	Cell cycle - Taeniopygia guttata (zebra finch)	ENSTGUG00000004036,ENSTGUG00000011790,ENSTGUG00000002027,ENSTGUG00000007143,ENSTGUG00000012205,ENSTGUG00000001417,ENSTGUG00000001917,ENSTGUG00000005332,ENSTGUG00000001525,ENSTGUG00000001420,ENSTGUG00000000037,ENSTGUG00000005947,ENSTGUG00000011936,ENSTGUG00000005078,ENSTGUG00000001915,ENSTGUG00000001790,ENSTGUG00000002039,ENSTGUG00000013380,ENSTGUG00000008450,ENSTGUG00000005982,ENSTGUG00000001291,ENSTGUG00000011610,ENSTGUG00000012439,ENSTGUG00000008533,ENSTGUG00000002334,ENSTGUG00000009440,ENSTGUG00000006148,ENSTGUG00000003722,ENSTGUG00000008459,ENSTGUG00000005711,ENSTGUG00000009328,ENSTGUG00000005350,ENSTGUG00000003528,ENSTGUG00000012237,ENSTGUG00000011831
path:tgu04070	 61	17488	 28	4820	 16.81	1.67	0.028043	9.92e-03	0.4358	0.16365	Phosphatidylinositol signaling system - Taeniopygia guttata (zebra finch)	ENSTGUG00000002581,ENSTGUG00000011675,ENSTGUG00000006249,ENSTGUG00000007464,ENSTGUG00000001497,ENSTGUG00000010850,ENSTGUG00000004257,ENSTGUG00000009404,ENSTGUG00000008575,ENSTGUG00000001481,ENSTGUG00000004586,ENSTGUG00000012607,ENSTGUG00000000931,ENSTGUG00000004977,ENSTGUG00000004318,ENSTGUG00000009659,ENSTGUG00000005132,ENSTGUG00000010647,ENSTGUG00000011465,ENSTGUG00000006215,ENSTGUG00000004636,ENSTGUG00000001798,ENSTGUG00000007481,ENSTGUG00000002522,ENSTGUG00000009607,ENSTGUG00000007275,ENSTGUG00000009524,ENSTGUG00000008700
