queryHits	subjectHits	chrom	zf_pos	ensembl_transcript_id	fst_smooth	fst_boot	fst_diff	ensembl_gene_id	go_id	go_linkage_type	name_1006
159	1176	chr3	85269506	ENSTGUT00000013263	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012740	GO:0007519	IEA	skeletal muscle tissue development
159	1176	chr3	85269506	ENSTGUT00000013263	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012740	GO:0030198	IEA	extracellular matrix organization
159	1177	chr3	85473280	ENSTGUT00000013272	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012741	GO:0046627	IEA	negative regulation of insulin receptor signaling pathway
159	1177	chr3	85473280	ENSTGUT00000013272	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012741	GO:0051898	IEA	negative regulation of protein kinase B signaling
159	1177	chr3	85473280	ENSTGUT00000013272	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012741	GO:0046325	IEA	negative regulation of glucose import
159	1177	chr3	85473280	ENSTGUT00000013272	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012741	GO:0038016	IEA	insulin receptor internalization
159	1178	chr3	85630461	ENSTGUT00000013281	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012749	GO:0016525	IEA	negative regulation of angiogenesis
159	1178	chr3	85630461	ENSTGUT00000013281	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012749	GO:0007166	IEA	cell surface receptor signaling pathway
159	1178	chr3	85630461	ENSTGUT00000013281	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012749	GO:0007186	IEA	G-protein coupled receptor signaling pathway
159	1178	chr3	85630461	ENSTGUT00000013281	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012749	GO:0007218	IEA	neuropeptide signaling pathway
159	1178	chr3	85630461	ENSTGUT00000013281	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012749	GO:0007165	IEA	signal transduction
160	1177	chr3	85473280	ENSTGUT00000013272	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012741	GO:0046627	IEA	negative regulation of insulin receptor signaling pathway
160	1177	chr3	85473280	ENSTGUT00000013272	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012741	GO:0051898	IEA	negative regulation of protein kinase B signaling
160	1177	chr3	85473280	ENSTGUT00000013272	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012741	GO:0046325	IEA	negative regulation of glucose import
160	1177	chr3	85473280	ENSTGUT00000013272	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012741	GO:0038016	IEA	insulin receptor internalization
160	1178	chr3	85630461	ENSTGUT00000013281	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012749	GO:0016525	IEA	negative regulation of angiogenesis
160	1178	chr3	85630461	ENSTGUT00000013281	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012749	GO:0007166	IEA	cell surface receptor signaling pathway
160	1178	chr3	85630461	ENSTGUT00000013281	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012749	GO:0007186	IEA	G-protein coupled receptor signaling pathway
160	1178	chr3	85630461	ENSTGUT00000013281	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012749	GO:0007218	IEA	neuropeptide signaling pathway
160	1178	chr3	85630461	ENSTGUT00000013281	0.207285409183673	0.113287080973451	0.0939983282102221	ENSTGUG00000012749	GO:0007165	IEA	signal transduction
158	1174	chr3	85067721	ENSTGUT00000013250	0.171843518852459	0.1111514196	0.060692099252459	ENSTGUG00000012721	GO:0006505	IEA	GPI anchor metabolic process
158	1174	chr3	85067721	ENSTGUT00000013250	0.171843518852459	0.1111514196	0.060692099252459	ENSTGUG00000012721	GO:0006629	IEA	lipid metabolic process
158	1174	chr3	85067721	ENSTGUT00000013250	0.171843518852459	0.1111514196	0.060692099252459	ENSTGUG00000012721	GO:0006886	IEA	intracellular protein transport
158	1175	chr3	85199974	ENSTGUT00000013262	0.171843518852459	0.1111514196	0.060692099252459	ENSTGUG00000012730	GO:0003417	IEA	growth plate cartilage development
158	1175	chr3	85199974	ENSTGUT00000013262	0.171843518852459	0.1111514196	0.060692099252459	ENSTGUG00000012730	GO:0051216	IEA	cartilage development
158	1175	chr3	85199974	ENSTGUT00000013262	0.171843518852459	0.1111514196	0.060692099252459	ENSTGUG00000012730	GO:0001894	IEA	tissue homeostasis
158	1176	chr3	85269506	ENSTGUT00000013263	0.171843518852459	0.1111514196	0.060692099252459	ENSTGUG00000012740	GO:0007519	IEA	skeletal muscle tissue development
158	1176	chr3	85269506	ENSTGUT00000013263	0.171843518852459	0.1111514196	0.060692099252459	ENSTGUG00000012740	GO:0030198	IEA	extracellular matrix organization
158	1177	chr3	85473280	ENSTGUT00000013272	0.171843518852459	0.1111514196	0.060692099252459	ENSTGUG00000012741	GO:0046627	IEA	negative regulation of insulin receptor signaling pathway
158	1177	chr3	85473280	ENSTGUT00000013272	0.171843518852459	0.1111514196	0.060692099252459	ENSTGUG00000012741	GO:0051898	IEA	negative regulation of protein kinase B signaling
158	1177	chr3	85473280	ENSTGUT00000013272	0.171843518852459	0.1111514196	0.060692099252459	ENSTGUG00000012741	GO:0046325	IEA	negative regulation of glucose import
158	1177	chr3	85473280	ENSTGUT00000013272	0.171843518852459	0.1111514196	0.060692099252459	ENSTGUG00000012741	GO:0038016	IEA	insulin receptor internalization
158	1178	chr3	85630461	ENSTGUT00000013281	0.171843518852459	0.1111514196	0.060692099252459	ENSTGUG00000012749	GO:0016525	IEA	negative regulation of angiogenesis
158	1178	chr3	85630461	ENSTGUT00000013281	0.171843518852459	0.1111514196	0.060692099252459	ENSTGUG00000012749	GO:0007166	IEA	cell surface receptor signaling pathway
158	1178	chr3	85630461	ENSTGUT00000013281	0.171843518852459	0.1111514196	0.060692099252459	ENSTGUG00000012749	GO:0007186	IEA	G-protein coupled receptor signaling pathway
158	1178	chr3	85630461	ENSTGUT00000013281	0.171843518852459	0.1111514196	0.060692099252459	ENSTGUG00000012749	GO:0007218	IEA	neuropeptide signaling pathway
158	1178	chr3	85630461	ENSTGUT00000013281	0.171843518852459	0.1111514196	0.060692099252459	ENSTGUG00000012749	GO:0007165	IEA	signal transduction
245	1671	chrZ	17747775	ENSTGUT00000000988	0.177931354565217	0.135216261615385	0.0427150929498328	ENSTGUG00000000953	GO:0019677	IEA	NAD catabolic process
245	1671	chrZ	17747775	ENSTGUT00000000988	0.177931354565217	0.135216261615385	0.0427150929498328	ENSTGUG00000000953	GO:0006742	IEA	NADP catabolic process
86	682	chr1A	55010463	ENSTGUT00000011739	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011254	GO:0006559	IEA	L-phenylalanine catabolic process
86	682	chr1A	55010463	ENSTGUT00000011739	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011254	GO:0009072	IEA	aromatic amino acid family metabolic process
86	682	chr1A	55010463	ENSTGUT00000011739	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011254	GO:0008152	IEA	metabolic process
86	682	chr1A	55010463	ENSTGUT00000011739	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011254	GO:0055114	IEA	oxidation-reduction process
86	683	chr1A	55057204	ENSTGUT00000011749	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011270	GO:0009072	IEA	aromatic amino acid family metabolic process
86	683	chr1A	55057204	ENSTGUT00000011749	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011270	GO:0055114	IEA	oxidation-reduction process
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:2000288	IEA	positive regulation of myoblast proliferation
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0060766	IEA	negative regulation of androgen receptor signaling pathway
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0060741	IEA	prostate gland stromal morphogenesis
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0060510	IEA	Type II pneumocyte differentiation
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0051246	IEA	regulation of protein metabolic process
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0032878	IEA	regulation of establishment or maintenance of cell polarity
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0030104	IEA	water homeostasis
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0021940	IEA	positive regulation of cerebellar granule cell precursor proliferation
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0060527	IEA	prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0060463	IEA	lung lobe morphogenesis
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0031017	IEA	exocrine pancreas development
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0048468	IEA	cell development
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0048009	IEA	insulin-like growth factor receptor signaling pathway
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0001932	IEA	regulation of protein phosphorylation
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0060509	IEA	Type I pneumocyte differentiation
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0060736	IEA	prostate gland growth
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0070373	IEA	negative regulation of ERK1 and ERK2 cascade
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0007399	IEA	nervous system development
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0014068	IEA	positive regulation of phosphatidylinositol 3-kinase signaling
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0048754	IEA	branching morphogenesis of an epithelial tube
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0010001	IEA	glial cell differentiation
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0060426	IEA	lung vasculature development
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0001974	IEA	blood vessel remodeling
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0030324	IEA	lung development
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0097192	IEA	extrinsic apoptotic signaling pathway in absence of ligand
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0048286	IEA	lung alveolus development
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0060740	IEA	prostate gland epithelium morphogenesis
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0043066	IEA	negative regulation of apoptotic process
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0008284	IEA	positive regulation of cell proliferation
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0051897	IEA	positive regulation of protein kinase B signaling
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0035264	IEA	multicellular organism growth
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0008285	IEA	negative regulation of cell proliferation
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0050650	IEA	chondroitin sulfate proteoglycan biosynthetic process
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0048839	IEA	inner ear development
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0045944	IEA	positive regulation of transcription from RNA polymerase II promoter
86	684	chr1A	55215463	ENSTGUT00000011760	0.130049150885714	0.0883196105128205	0.0417295403728938	ENSTGUG00000011279	GO:0045821	IEA	positive regulation of glycolytic process
