ensembl_gene_id	chromosome_name	start_position	end_position	go_id	go_linkage_type	name_1006
ENSTGUG00000000037	13	149437	157731	GO:0005515	IEA	protein binding
ENSTGUG00000000037	13	149437	157731	GO:0030071	IEA	regulation of mitotic metaphase/anaphase transition
ENSTGUG00000000037	13	149437	157731	GO:0005680	IEA	anaphase-promoting complex
ENSTGUG00000000037	13	149437	157731	GO:0007080	IEA	mitotic metaphase plate congression
ENSTGUG00000000037	13	149437	157731	GO:0070979	IEA	protein K11-linked ubiquitination
ENSTGUG00000000037	13	149437	157731	GO:0007067	IEA	mitotic nuclear division
ENSTGUG00000000037	13	149437	157731	GO:0005622	IEA	intracellular
ENSTGUG00000001790	2	30086493	30125026	GO:0031625	IEA	ubiquitin protein ligase binding
ENSTGUG00000001790	2	30086493	30125026	GO:0031461	IEA	cullin-RING ubiquitin ligase complex
ENSTGUG00000001790	2	30086493	30125026	GO:0006511	IEA	ubiquitin-dependent protein catabolic process
ENSTGUG00000001790	2	30086493	30125026	GO:1990452	IEA	Parkin-FBXW7-Cul1 ubiquitin ligase complex
ENSTGUG00000001790	2	30086493	30125026	GO:0005515	IEA	protein binding
ENSTGUG00000001790	2	30086493	30125026	GO:0016567	IEA	protein ubiquitination
ENSTGUG00000001790	2	30086493	30125026	GO:0009887	IEA	organ morphogenesis
ENSTGUG00000001790	2	30086493	30125026	GO:0006915	IEA	apoptotic process
ENSTGUG00000001790	2	30086493	30125026	GO:0006513	IEA	protein monoubiquitination
ENSTGUG00000001790	2	30086493	30125026	GO:0008283	IEA	cell proliferation
ENSTGUG00000003528	18	1754168	1754493	GO:0005515	IEA	protein binding
ENSTGUG00000003528	18	1754168	1754493	GO:0004842	IEA	ubiquitin-protein transferase activity
ENSTGUG00000003528	18	1754168	1754493	GO:0005680	IEA	anaphase-promoting complex
ENSTGUG00000003528	18	1754168	1754493	GO:0008270	IEA	zinc ion binding
ENSTGUG00000003528	18	1754168	1754493	GO:0046872	IEA	metal ion binding
ENSTGUG00000003528	18	1754168	1754493	GO:0097602	IEA	cullin family protein binding
ENSTGUG00000003528	18	1754168	1754493	GO:0070979	IEA	protein K11-linked ubiquitination
ENSTGUG00000003528	18	1754168	1754493	GO:0034450	IEA	ubiquitin-ubiquitin ligase activity
ENSTGUG00000003528	18	1754168	1754493	GO:0005654	IEA	nucleoplasm
ENSTGUG00000003528	18	1754168	1754493	GO:0016567	IEA	protein ubiquitination
ENSTGUG00000003528	18	1754168	1754493	GO:0061630	IEA	ubiquitin protein ligase activity
ENSTGUG00000003528	18	1754168	1754493	GO:0005730	IEA	nucleolus
ENSTGUG00000005332	6	5593644	5601347	GO:0004713	IEA	protein tyrosine kinase activity
ENSTGUG00000005332	6	5593644	5601347	GO:0016772	IEA	transferase activity, transferring phosphorus-containing groups
ENSTGUG00000005332	6	5593644	5601347	GO:0006468	IEA	protein phosphorylation
ENSTGUG00000005332	6	5593644	5601347	GO:0004672	IEA	protein kinase activity
ENSTGUG00000005332	6	5593644	5601347	GO:0008353	IEA	RNA polymerase II carboxy-terminal domain kinase activity
ENSTGUG00000005332	6	5593644	5601347	GO:0004693	IEA	cyclin-dependent protein serine/threonine kinase activity
ENSTGUG00000005332	6	5593644	5601347	GO:0034501	IEA	protein localization to kinetochore
ENSTGUG00000005332	6	5593644	5601347	GO:0018107	IEA	peptidyl-threonine phosphorylation
ENSTGUG00000005332	6	5593644	5601347	GO:0030855	IEA	epithelial cell differentiation
ENSTGUG00000005332	6	5593644	5601347	GO:0072686	IEA	mitotic spindle
ENSTGUG00000005332	6	5593644	5601347	GO:0070062	IEA	extracellular exosome
ENSTGUG00000005332	6	5593644	5601347	GO:0005515	IEA	protein binding
ENSTGUG00000005332	6	5593644	5601347	GO:0005876	IEA	spindle microtubule
ENSTGUG00000005332	6	5593644	5601347	GO:0030496	IEA	midbody
ENSTGUG00000005332	6	5593644	5601347	GO:0018105	IEA	peptidyl-serine phosphorylation
ENSTGUG00000005332	6	5593644	5601347	GO:0043066	IEA	negative regulation of apoptotic process
ENSTGUG00000005332	6	5593644	5601347	GO:0005813	IEA	centrosome
ENSTGUG00000005332	6	5593644	5601347	GO:0004674	IEA	protein serine/threonine kinase activity
ENSTGUG00000005332	6	5593644	5601347	GO:0005737	IEA	cytoplasm
ENSTGUG00000005332	6	5593644	5601347	GO:0005634	IEA	nucleus
ENSTGUG00000005332	6	5593644	5601347	GO:0016020	IEA	membrane
ENSTGUG00000005332	6	5593644	5601347	GO:0005524	IEA	ATP binding
ENSTGUG00000005332	6	5593644	5601347	GO:0000166	IEA	nucleotide binding
ENSTGUG00000005332	6	5593644	5601347	GO:0030544	IEA	Hsp70 protein binding
ENSTGUG00000005332	6	5593644	5601347	GO:0016301	IEA	kinase activity
