chrom	start	end	measure	id	i.start	i.end	contig_id	dxy_abs	contig_length	no_overlapping_islands	dxy_rel
chr1	24542160	27417760	Fst	81	24567899	24568719	contig28237	0.1125	852	1	0.000132042253521127
chr1	24542160	27417760	Fst	81	24568943	24570816	contig30743	5.2946	1857	1	0.0028511577813678
chr1	24542160	27417760	Fst	81	24571923	24572698	contig33367	0.24286	795	1	0.00030548427672956
chr1	24542160	27417760	Fst	81	24573219	24574486	contig3333	2.4839	1254	1	0.00198078149920255
chr1	24542160	27417760	Fst	81	24578687	24580119	contig8506	0.14643	1461	1	0.000100225872689938
chr1	24542160	27417760	Fst	81	24582107	24582923	contig36856	0.11429	497	1	0.000229959758551308
chr1	24542160	27417760	Fst	81	24587526	24589385	contig639	1.3875	1861	1	0.000745566899516389
chr1	24542160	27417760	Fst	81	24601765	24602880	contig45775	0.425	1098	1	0.000387067395264117
chr1	24542160	27417760	Fst	81	24601822	24603551	contig58496	0	369	1	0
chr1	24542160	27417760	Fst	81	24614000	24618512	contig8469	0.58571	2201	1	0.000266110858700591
chr1	24542160	27417760	Fst	81	24629440	24636864	contig27205	0.8125	1178	1	0.000689728353140917
chr1	24542160	27417760	Fst	81	24630370	24633108	contig25368	1.1286	414	1	0.00272608695652174
chr1	24542160	27417760	Fst	81	24639861	24640837	contig51889	5.8429	955	1	0.00611821989528796
chr1	24542160	27417760	Fst	81	24659047	24660525	contig21353	2.1768	1458	1	0.00149300411522634
chr1	24542160	27417760	Fst	81	24681795	24682347	contig45856	0.58571	565	1	0.00103665486725664
chr1	24542160	27417760	Fst	81	24682637	24685681	contig29704	0.71786	705	1	0.00101824113475177
chr1	24542160	27417760	Fst	81	24685681	24687335	contig5757	4.6036	1625	1	0.00283298461538462
chr1	24542160	27417760	Fst	81	24687469	24688789	contig61240	2.9625	1403	1	0.00211154668567356
chr1	24542160	27417760	Fst	81	24687713	24734286	contig57629	3.1357	2551	1	0.00122920423363387
chr1	24542160	27417760	Fst	81	24692638	24693016	contig25777	0.95357	386	1	0.00247038860103627
chr1	24542160	27417760	Fst	81	24706377	24720324	contig47232	2.1196	752	1	0.0028186170212766
chr1	24542160	27417760	Fst	81	24722590	24723782	contig59249	4.725	1264	1	0.0037381329113924
chr1	24542160	27417760	Fst	81	24739876	24740763	contig35446	0.63929	862	1	0.000741635730858469
chr1	24542160	27417760	Fst	81	24747769	24753166	contig3378	0.71607	2147	1	0.000333521192361435
