ensembl_gene_id	ensembl_transcript_id	ggallus_homolog_ensembl_gene	ggallus_homolog_orthology_type	ggallus_homolog_orthology_confidence
ENSTGUG00000000003	ENSTGUT00000000002	ENSGALG00000007669	ortholog_one2one	1
ENSTGUG00000000004	ENSTGUT00000000004	ENSGALG00000017365	ortholog_one2one	1
ENSTGUG00000000007	ENSTGUT00000000018	ENSGALG00000007663	ortholog_one2one	1
ENSTGUG00000000022	ENSTGUT00000000029	ENSGALG00000007642	ortholog_one2one	1
ENSTGUG00000000031	ENSTGUT00000000035	ENSGALG00000007620	ortholog_one2one	1
ENSTGUG00000000037	ENSTGUT00000000038	ENSGALG00000007610	ortholog_one2one	1
ENSTGUG00000000040	ENSTGUT00000000044	ENSGALG00000007593	ortholog_one2one	1
ENSTGUG00000000047	ENSTGUT00000000059	ENSGALG00000007582	ortholog_one2one	1
ENSTGUG00000000062	ENSTGUT00000000066	ENSGALG00000007573	ortholog_one2one	1
ENSTGUG00000000069	ENSTGUT00000000076	ENSGALG00000007565	ortholog_one2one	1
ENSTGUG00000000079	ENSTGUT00000000082	ENSGALG00000007528	ortholog_one2one	1
ENSTGUG00000000079	ENSTGUT00000000084	ENSGALG00000007528	ortholog_one2one	1
ENSTGUG00000000085	ENSTGUT00000000088	ENSGALG00000007516	ortholog_one2one	1
ENSTGUG00000000085	ENSTGUT00000000091	ENSGALG00000007516	ortholog_one2one	1
ENSTGUG00000000092	ENSTGUT00000000122	ENSGALG00000007494	ortholog_one2many	1
ENSTGUG00000000122	ENSTGUT00000000124	ENSGALG00000007415	ortholog_one2one	1
ENSTGUG00000000124	ENSTGUT00000000125	ENSGALG00000007494	ortholog_one2many	1
ENSTGUG00000000125	ENSTGUT00000000127	ENSGALG00000023774	ortholog_one2one	1
ENSTGUG00000000127	ENSTGUT00000000129			NA
ENSTGUG00000000129	ENSTGUT00000000130			NA
ENSTGUG00000000130	ENSTGUT00000000134	ENSGALG00000004333	ortholog_one2many	1
ENSTGUG00000000134	ENSTGUT00000000137	ENSGALG00000007404	ortholog_one2one	1
ENSTGUG00000000140	ENSTGUT00000000150	ENSGALG00000007394	ortholog_one2one	1
ENSTGUG00000000148	ENSTGUT00000000159	ENSGALG00000007380	ortholog_one2many	1
ENSTGUG00000000156	ENSTGUT00000000161	ENSGALG00000007380	ortholog_one2many	1
ENSTGUG00000000158	ENSTGUT00000000162	ENSGALG00000007343	ortholog_one2one	1
ENSTGUG00000000159	ENSTGUT00000000163			NA
ENSTGUG00000000160	ENSTGUT00000000164	ENSGALG00000028281	ortholog_one2many	1
ENSTGUG00000000160	ENSTGUT00000000164	ENSGALG00000026251	ortholog_one2many	1
ENSTGUG00000000161	ENSTGUT00000000169	ENSGALG00000026654	ortholog_one2many	1
ENSTGUG00000000161	ENSTGUT00000000169	ENSGALG00000028938	ortholog_one2many	1
ENSTGUG00000000166	ENSTGUT00000000174	ENSGALG00000027244	ortholog_one2many	1
ENSTGUG00000000166	ENSTGUT00000000174	ENSGALG00000007312	ortholog_one2many	1
ENSTGUG00000000171	ENSTGUT00000000179	ENSGALG00000026568	ortholog_one2many	0
ENSTGUG00000000171	ENSTGUT00000000179	ENSGALG00000007292	ortholog_one2many	0
ENSTGUG00000000176	ENSTGUT00000000190	ENSGALG00000007273	ortholog_one2one	1
ENSTGUG00000000187	ENSTGUT00000000195	ENSGALG00000007126	ortholog_one2one	1
ENSTGUG00000000192	ENSTGUT00000000196	ENSGALG00000007099	ortholog_one2one	1
ENSTGUG00000000193	ENSTGUT00000000197	ENSGALG00000028302	ortholog_one2many	1
ENSTGUG00000000193	ENSTGUT00000000197	ENSGALG00000007096	ortholog_one2many	1
ENSTGUG00000000194	ENSTGUT00000000198	ENSGALG00000028407	ortholog_many2many	1
ENSTGUG00000000194	ENSTGUT00000000198	ENSGALG00000027613	ortholog_many2many	1
ENSTGUG00000000195	ENSTGUT00000000200	ENSGALG00000027232	ortholog_one2many	1
ENSTGUG00000000197	ENSTGUT00000000202	ENSGALG00000001445	ortholog_one2one	1
ENSTGUG00000000199	ENSTGUT00000000203	ENSGALG00000001436	ortholog_one2one	1
ENSTGUG00000000200	ENSTGUT00000000209	ENSGALG00000001429	ortholog_one2many	1
ENSTGUG00000000206	ENSTGUT00000000212	ENSGALG00000001416	ortholog_one2one	1
ENSTGUG00000000209	ENSTGUT00000000214	ENSGALG00000001409	ortholog_one2one	1
ENSTGUG00000000212	ENSTGUT00000000221	ENSGALG00000000546	ortholog_one2many	1
ENSTGUG00000000218	ENSTGUT00000000229	ENSGALG00000001383	ortholog_one2many	1
